"","sub","grp","ripl_to_rput","ripl_to_smfc","rput_to_ripl","rput_to_smfc","smfc_to_ripl","smfc_to_rput"
"1","101","train",-0.7297,-1.0673,0.6058,0.1308,1.2263,0.1384
"2","103","train",0.1724,2.8855,-0.0107,0.0349,-0.8802,0.0992
"3","104","train",-0.0196,0.1771,0.0273,0.2616,-3e-04,-0.0074
"4","105","train",-0.0054,0.0155,0.0048,-0.0204,-0.0062,0.0059
"5","107","train",-0.6348,-0.8054,0,0.0539,0.636,0.102
"6","108","train",-0.545,0.354,0.3714,-0.2805,0.7894,-0.0034
"7","109","train",0.3674,-0.7889,0.0228,0.0292,-0.1159,-0.3592
"8","110","train",1.2232,1.0897,0.0096,0.2502,0.0324,0.3154
"9","111","train",-0.8982,1.1539,0.3543,-0.0186,1.0362,0.1642
"10","112","train",0.0586,-0.2352,0.3576,0.2142,0.7622,-0.3629
"11","113","train",0.3953,0.5245,-0.6475,0.0151,-1.1247,0.0444
"12","114","train",1.3405,-0.2153,0,0.0968,-0.0523,-1.5274
"13","115","train",0.4766,0.7062,-1.0053,-0.0564,-2.0172,-0.0059
"14","116","train",-2.6018,0.0957,-1.6954,2.0618,-0.5888,0.2242
"15","117","train",0.8479,1.4619,0.3152,0.2248,0.7255,0.3131
"16","118","train",-0.3903,-1.1265,0.3541,0.0822,1.2516,0.0669
"17","119","train",-0.0662,-0.5341,0.1171,0.0174,0.4661,0.0047
"18","120","train",-0.7075,-1.731,0.1343,0.2672,0.2948,0.2192
"19","121","train",0.1335,-0.0903,0.0117,1.1245,-0.1622,-0.2268
"20","122","train",-1.3609,-1.482,2.0816,4.0613,-0.0535,1.5292
"21","123","train",-1.3682,0.4878,-0.0489,0.268,-0.2694,0.1037
"22","124","train",0,-0.0041,0,-0.16,0.0016,0
"23","125","train",0.2749,0.3845,-0.2013,-0.8523,0.7871,0.0191
"24","126","train",-0.0129,0.0028,-0.0031,0.0201,-0.0017,0.0048
"25","127","train",0.5594,0.0582,-0.4047,-0.1566,0.1882,0.5402
"26","129","train",0.0787,0.2722,-0.334,-0.2578,-0.5955,-0.1201
"27","130","train",1.4271,0.4748,0.0683,0.098,0.0242,0.1217
"28","131","train",0.9309,0.2404,-0.0217,0.0339,-0.0153,0.0561
"29","132","train",-0.0757,-0.1829,-0.0309,0.2075,-0.1044,0.3688
"30","133","train",0.1159,-0.926,-0.0321,0.0227,0.7468,-0.0597
"31","134","train",0.4079,0.8758,-0.8313,0.1867,-0.1774,0.103
"32","135","train",1.4155,-1.1494,-0.2295,-0.5003,0.468,-0.1032
"33","136","train",1.3668,0.0541,-3.5587,-0.0967,-0.3181,-0.0178
"34","137","train",-0.0676,0.0577,1.0373,0.2081,0.019,1e-04
"35","139","train",-1.1288,0.3586,0.678,-0.6052,-0.5319,0.0836
"36","140","train",0.2341,-0.6416,0,0.2325,0.8214,0.7261
"37","141","train",0.243,0.5617,0.0547,0.0755,0.1085,0.0909
"38","142","train",-0.0064,0.0069,0.0029,-0.0038,-0.004,-0.0028
"39","143","train",-0.0053,0.016,-8e-04,9e-04,-0.0191,8e-04
"40","145","train",0,1.0954,0.0027,0.5261,0,0
"41","146","train",0,0.5587,-0.0045,0.0091,-0.0173,0
"42","147","train",1.3774,1.3759,-0.3967,0.4704,-0.5049,0.4754
"43","148","train",-0.0338,0.3624,0.6832,-0.3488,-0.1019,0.1449
"44","149","train",0.7494,1.8786,-0.9255,0.2447,-2.3866,0.2898
"45","150","train",0.8798,-1.6147,-0.7114,-0.3498,1.3442,-0.2758
"46","201","control",-1.6552,-1.0296,0.6204,0.5029,0.3882,0.5035
"47","202","control",0.0835,0.07,-0.0096,0.0158,-4e-04,-0.0151
"48","204","control",1.3104,1.3107,-0.3648,0.4578,-0.4578,0.4004
"49","205","control",0.172,-0.1149,0.3878,-0.1913,-0.1461,-0.1731
"50","206","control",1.5395,0.9101,0.8565,0.3279,0.4761,0.371
"51","207","control",0.0048,0.601,0.0136,-0.0078,-0.5837,-0.1372
"52","208","control",-0.0377,-0.3161,1.1296,0.5468,-0.4375,0.5504
"53","209","control",0.8167,-1.1426,0.4427,-0.2036,-0.565,-0.367
"54","210","control",0.2831,0.3239,0.201,-0.844,-0.0136,-0.1874
"55","211","control",-0.3896,0.5155,0.2825,-0.7764,-0.3662,-0.7897
"56","212","control",0.7398,-1.5074,0.6363,-0.2806,-1.0977,-0.4867
"57","213","control",0.1182,0.377,0.0069,0.0329,0.1183,0.0677
"58","214","control",0.8391,2.9409,-0.2142,1.1363,-0.4128,0.6498
"59","215","control",0.1744,2.7992,-2.0439,0.9496,0.1978,0.7333
"60","216","control",0.2351,0.9004,-0.2446,0.0831,-0.6715,0.3416
"61","217","control",1.7152,0.5312,-1.077,0.2087,-0.3071,0.1626
"62","218","control",0.3925,1.2918,-0.9936,-0.0264,-2.5941,0.2327
"63","219","control",0.0025,-0.0048,-0.0016,-0.0032,-0.0151,0.0167
"64","220","control",0.3048,1.6245,-0.9888,-1.2813,0.7918,0.9952
"65","221","control",0.5161,1.2253,1.6848,-0.3821,-0.0544,-0.5778
"66","222","control",0.0038,-0.0094,-0.0085,-0.0057,0.014,-0.0026
"67","223","control",0,0,-0.9534,2.223,-0.1218,0.9447
"68","224","control",0.3763,0.254,-0.7294,0.0524,-0.661,0.1714
"69","225","control",-0.8648,-0.7919,0.8428,0.1639,0.7631,0.2781
"70","226","control",-0.96,2.1104,-2.4285,-2.9746,0.2171,0.4796
"71","227","control",0.005,0.0032,-9e-04,0.0091,-0.0092,0.0096
"72","228","control",2.2557,0.2484,3.221,-0.5775,-3.3272,-1.8378
"73","229","control",0.1463,-0.0978,-0.0448,0.0028,-0.0034,-0.0154
"74","230","control",-0.9405,1.2976,-0.6724,-0.3243,0.8079,-0.4164
"75","231","control",-0.0095,-0.0053,0.011,0.0129,0.0088,-0.0069
"76","232","control",-0.0086,-0.0073,-0.0078,-0.006,-0.0235,0.0089
"77","233","control",0.2699,1.1344,0.0411,0.0846,0.0876,0.1182
"78","234","control",0,0.3828,-0.6183,-0.6323,1.292,0.4972
"79","235","control",0.9247,2.36,0.1516,0.8103,0.2739,0.7435
"80","236","control",0.4162,0.759,1.5047,-0.7823,-0.9002,0.0683
"81","237","control",-0.0153,-1e-04,0.0064,9e-04,-0.0078,0.0016
"82","238","control",0.7399,0.6192,0.1575,0.133,0.1266,0.1763
"83","239","control",0.1486,0.177,-0.1845,-0.1263,-0.0594,-0.078
"84","240","control",-0.0114,0.1078,-0.1443,0.0147,-0.4241,-0.1457
"85","241","control",1.0546,1.6673,-0.1869,1.3154,-0.8877,1.546
"86","242","control",-0.0188,0.0172,0.0046,-0.0059,0.0196,0.0038
"87","243","control",0.0148,-0.0155,0.0184,-0.0126,0.0018,0.0011
"88","244","control",1.1859,0,1.1862,-0.1745,-0.419,-0.5226
"89","245","control",-0.1415,-0.7458,0.1138,0.0253,0.3378,0.3034
"90","246","control",-0.0135,-0.1404,0.2742,-0.007,0.3516,-0.107
"91","247","control",1.2594,0.3019,-0.6182,0.1066,-0.1763,0.1172
"92","248","control",2.2148,0,0,1.958,-0.669,0
"93","249","control",1.783,0.2993,-0.3755,-0.1669,0.2686,0.2624
"94","250","control",0.6574,-0.0162,-0.1099,-0.1307,-0.1806,0.1241
