"","sub","grp","lipl_to_lput","lput_to_lipl","lput_to_smfc","smfc_to_lipl"
"1","101","train",-2.1318,0.8855,0.9368,-0.0203
"2","103","train",-0.0584,-0.2254,-0.5711,0.0386
"3","104","train",0.8812,-2.9488,1.3324,0.9034
"4","105","train",0.0317,-0.0572,-1.6603,0.0359
"5","106","train",1.065,-1.0885,0.115,-0.5722
"6","107","train",-0.0202,0.1075,-0.1795,-0.0134
"7","108","train",0.4483,-0.8159,-0.6844,0.0654
"8","109","train",-2.902,1.827,-0.0617,-0.0769
"9","110","train",0.2695,0.999,0.0027,0.0047
"10","111","train",-0.5138,1.2907,1.5713,0.3016
"11","112","train",-0.265,0.5878,0.1609,0.0189
"12","113","train",-0.0475,0.0373,0.8416,0.0336
"13","114","train",0.005,0.0025,0.0023,0.0034
"14","115","train",0.6414,-0.5658,-0.0673,0.1359
"15","116","train",2.7902,-1.407,-0.2453,-0.0131
"16","117","train",1.6559,1.0177,1.1728,0.0909
"17","118","train",1.6893,1.2277,-0.0251,-1.3479
"18","119","train",0.2112,-1.2452,-1.2701,0.1954
"19","120","train",0.1825,1.03,3.7316,0.8343
"20","121","train",-0.5437,-0.569,0.8059,-0.2645
"21","122","train",-1.678,0.4938,0.6772,-0.1017
"22","123","train",1.0571,-1.0447,-1.7551,0.2628
"23","124","train",-1.4247,0.4874,0.7117,0.066
"24","125","train",-0.5088,0.9064,-1.1219,-0.9085
"25","126","train",-1.5586,0.7094,-0.008,-0.0607
"26","127","train",-3.0681,0.4276,0.1239,-0.1724
"27","129","train",0.5958,-0.8664,-2.0471,0.3763
"28","130","train",0.1984,-0.2154,2.4504,-0.0993
"29","131","train",-0.0847,0.2136,-0.1951,-0.0048
"30","132","train",0.1199,0.7477,-0.1108,-0.0099
"31","133","train",-0.0024,-0.0142,-0.0437,0.0034
"32","134","train",-0.0813,0.8955,1.7239,0.3895
"33","135","train",0.0116,-0.0012,-0.015,0.0055
"34","136","train",0.3979,-0.8969,0.1711,-0.1336
"35","137","train",-0.0141,-0.0027,0.0019,0.0033
"36","139","train",0.6789,0,0.0165,1.0311
"37","140","train",-1.6276,0.701,1.5,0.0773
"38","141","train",-2.029,0.5693,0.0293,-0.0826
"39","142","train",0.0053,-0.0101,0.0078,-0.0113
"40","143","train",-0.005,-0.175,0,-0.0379
"41","145","train",-0.1613,0.9138,-0.2916,-0.0137
"42","146","train",-1.5687,0.6347,-0.2001,-1.8953
"43","147","train",-2.3611,1.3425,0.0543,-0.0181
"44","148","train",0.8875,-0.5912,0.1742,0.8688
"45","149","train",-0.0858,-0.0226,-0.1932,0.0189
"46","150","train",3.611,-1.4341,-0.6247,-0.1917
"47","201","control",-2.3428,1.1727,-0.0097,0.0056
"48","202","control",0.0814,1.46,2.1788,0.6295
"49","204","control",-0.0281,0.5679,1.1913,0.1982
"50","205","control",-0.0067,-0.0018,0.0058,-0.0043
"51","206","control",-0.7312,2.0046,-0.0764,-0.0136
"52","207","control",0.0018,9e-04,-0.0065,0.0083
"53","208","control",-0.0321,0.0184,1.1982,0.0075
"54","209","control",-0.5281,0.3871,0.0327,0.0159
"55","210","control",-1.2814,-1.4853,-1.7214,0.5038
"56","211","control",0,0.2692,0,0.1314
"57","212","control",-0.4777,0.8126,0.5813,-0.0122
"58","213","control",0.2152,0,0.1467,0.1625
"59","214","control",-0.4969,0.1357,0.9811,0.0087
"60","215","control",0.1814,0.1778,1.0291,0.1616
"61","216","control",1.306,1.1671,2.7808,0.4774
"62","217","control",-0.2471,0.8473,1.048,0.1537
"63","218","control",-0.3082,0.0737,0.158,0.0269
"64","219","control",0.0075,-0.0161,-0.0039,-0.0047
"65","220","control",-1.9345,1.0667,0.8103,0.0478
"66","221","control",0.4205,0.3985,1.9614,0.1527
"67","222","control",1.4959,-1.1699,-0.2487,0.0463
"68","223","control",0.9748,1.7641,1.9694,0.5552
"69","224","control",-0.0761,-0.0012,0.1933,-0.0139
"70","225","control",-0.1971,0.5478,2.4057,0.302
"71","226","control",0.3178,-0.2836,0.9547,-0.2045
"72","227","control",-0.0761,-0.4343,-0.6462,0.1098
"73","228","control",-0.032,0.0768,0.1276,0.2568
"74","229","control",-0.0636,0.2031,-0.0126,0.0043
"75","230","control",-0.0094,-0.0856,-0.0128,-3e-04
"76","231","control",-0.1384,0.2016,1.2027,0.112
"77","232","control",2.9183,-1.8968,-1.9796,0.3454
"78","233","control",-0.0041,0.5011,0.8211,0.0899
"79","234","control",0.106,-0.0606,0.04,-0.0604
"80","235","control",-0.0082,0.0053,-0.0078,-0.0177
"81","236","control",2.0783,-2.3331,-1.1725,0.54
"82","237","control",-0.011,-0.0052,-0.0026,8e-04
"83","238","control",-0.0073,0.0188,-0.0131,0.0048
"84","239","control",1.0084,-2.0869,0.1232,-0.0969
"85","240","control",-1.2304,0.642,1.1698,0.1565
"86","241","control",1.0106,-1.7599,1.6036,-0.5661
"87","242","control",-0.2057,0.7326,0.3003,-0.1955
"88","243","control",-0.0032,0.0077,0.0055,0.0034
"89","244","control",-0.8654,0.1609,0.3652,0.0781
"90","245","control",0.6303,-0.5507,2.0051,-0.2224
"91","246","control",-0.7586,-0.6555,0,0.841
"92","247","control",-1.9266,1.0262,-0.5665,-0.0203
"93","248","control",0.6139,0.553,0.5638,0.044
"94","249","control",-0.4071,1.26,0.4437,0.0616
"95","250","control",-0.2838,-0.0333,-0.8061,0.2072
